---,Actor,Location,Rotation,Scale,Meshes
Row_10,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=9601.406150,Y=2059.291663,Z=450.940748)","(Pitch=0.000000,Yaw=155.773570,Roll=-0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Pal/Model/Stage/b00/stairs_tool_3_36_0_main_geo_6.stairs_tool_3_36_0_main_geo_6'',Materials=(Material'""/Game/Others/WhiteRocks/Materials/BaseMaterial""',MaterialInstanceConstant'""/Game/Others/WhiteRocks/Materials/WhiteRockFlat""')))"
Row_11,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=7590.615142,Y=1198.864449,Z=-339.656367)","(Pitch=0.000000,Yaw=-63.718790,Roll=-88.423345)","(X=8.000000,Y=8.000000,Z=8.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Pal/Model/Stage/b06/Seashell/Meshes/SM_pal_b06_Tcom_Seashell_07.SM_pal_b06_Tcom_Seashell_07'',Materials=(MaterialInstanceConstant'""/Game/Pal/Model/Stage/b06/Seashell/Materials/MI_pal_b06_Tcom_Seashell_07""')))"
Row_12,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=9647.052683,Y=-518.512014,Z=-1290.530648)","(Pitch=0.000000,Yaw=133.756428,Roll=-0.000000)","(X=7.000000,Y=6.999999,Z=6.999999)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Assets/Beach_Cliff_wdplfee/S_Beach_Cliff_wdplfee_lod3_Var1.S_Beach_Cliff_wdplfee_lod3_Var1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Assets/Beach_Cliff_wdelca0/fix/MI_Pal_b00_Modular_Rock_1""')))"
Row_13,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=13585.609119,Y=312.657247,Z=179.029820)","(Pitch=-0.000000,Yaw=-101.251805,Roll=0.000000)","(X=3.000000,Y=3.000000,Z=3.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Pal/Model/Stage/b06/Cliff/SM_pal_b06_cliff_ground_CliffsAndRocksPack_01.SM_pal_b06_cliff_ground_CliffsAndRocksPack_01'',Materials=(MaterialInstanceConstant'""/Game/Pal/Model/Stage/b06/Cliff/Materials/MI_pal_b06_cliff_ground_CliffsAndRocksPack_01""')))"
Row_14,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=11905.139504,Y=-1093.771243,Z=178.979484)","(Pitch=-0.000000,Yaw=-177.959276,Roll=0.000000)","(X=3.000000,Y=3.000000,Z=3.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Pal/Model/Stage/b06/Cliff/SM_pal_b06_cliff_ground_CliffsAndRocksPack_02.SM_pal_b06_cliff_ground_CliffsAndRocksPack_02'',Materials=(MaterialInstanceConstant'""/Game/Pal/Model/Stage/b06/Cliff/Materials/MI_pal_b06_cliff_ground_CliffsAndRocksPack_01""')))"
Row_15,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=11160.474128,Y=-1004.091493,Z=178.979480)","(Pitch=-0.000000,Yaw=-5.067642,Roll=0.000000)","(X=3.000000,Y=3.000000,Z=3.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Pal/Model/Stage/b06/Cliff/SM_pal_b06_cliff_ground_CliffsAndRocksPack_02.SM_pal_b06_cliff_ground_CliffsAndRocksPack_02'',Materials=(MaterialInstanceConstant'""/Game/Pal/Model/Stage/b06/Cliff/Materials/MI_pal_b06_cliff_ground_CliffsAndRocksPack_01""')))"
Row_16,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=13228.757065,Y=-458.615498,Z=179.029814)","(Pitch=-0.000000,Yaw=-124.091662,Roll=0.000000)","(X=3.000000,Y=3.000000,Z=3.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Pal/Model/Stage/b06/Cliff/SM_pal_b06_cliff_ground_CliffsAndRocksPack_01.SM_pal_b06_cliff_ground_CliffsAndRocksPack_01'',Materials=(MaterialInstanceConstant'""/Game/Pal/Model/Stage/b06/Cliff/Materials/MI_pal_b06_cliff_ground_CliffsAndRocksPack_01""')))"
Row_17,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=13638.557991,Y=1035.187084,Z=178.979562)","(Pitch=0.000000,Yaw=93.328598,Roll=-0.000000)","(X=3.000000,Y=3.000000,Z=3.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Pal/Model/Stage/b06/Cliff/SM_pal_b06_cliff_ground_CliffsAndRocksPack_02.SM_pal_b06_cliff_ground_CliffsAndRocksPack_02'',Materials=(MaterialInstanceConstant'""/Game/Pal/Model/Stage/b06/Cliff/Materials/MI_pal_b06_cliff_ground_CliffsAndRocksPack_01""')))"
Row_18,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=13594.236246,Y=1794.094396,Z=179.029847)","(Pitch=-0.000000,Yaw=-77.795341,Roll=0.000000)","(X=3.000000,Y=3.000000,Z=3.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Pal/Model/Stage/b06/Cliff/SM_pal_b06_cliff_ground_CliffsAndRocksPack_01.SM_pal_b06_cliff_ground_CliffsAndRocksPack_01'',Materials=(MaterialInstanceConstant'""/Game/Pal/Model/Stage/b06/Cliff/Materials/MI_pal_b06_cliff_ground_CliffsAndRocksPack_01""')))"
Row_19,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=12567.394182,Y=-974.541276,Z=178.979536)","(Pitch=-0.000000,Yaw=-160.041543,Roll=0.000000)","(X=3.000000,Y=3.000000,Z=3.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Pal/Model/Stage/b06/Cliff/SM_pal_b06_cliff_ground_CliffsAndRocksPack_02.SM_pal_b06_cliff_ground_CliffsAndRocksPack_02'',Materials=(MaterialInstanceConstant'""/Game/Pal/Model/Stage/b06/Cliff/Materials/MI_pal_b06_cliff_ground_CliffsAndRocksPack_01""')))"
Row_20,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=13261.566031,Y=2248.608412,Z=179.029844)","(Pitch=0.000000,Yaw=-49.805958,Roll=0.000000)","(X=3.000000,Y=3.000000,Z=3.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Pal/Model/Stage/b06/Cliff/SM_pal_b06_cliff_ground_CliffsAndRocksPack_01.SM_pal_b06_cliff_ground_CliffsAndRocksPack_01'',Materials=(MaterialInstanceConstant'""/Game/Pal/Model/Stage/b06/Cliff/Materials/MI_pal_b06_cliff_ground_CliffsAndRocksPack_01""')))"
Row_21,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=13195.496318,Y=2222.946320,Z=-1297.409125)","(Pitch=0.647579,Yaw=-55.148567,Roll=-1.717814)","(X=7.000000,Y=7.000000,Z=7.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Assets/Beach_Cliff_wdelbay/S_Beach_Cliff_wdelbay_lod3_Var1.S_Beach_Cliff_wdelbay_lod3_Var1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Assets/Beach_Cliff_wdelca0/fix/MI_Pal_b00_Modular_Rock_1""')))"
Row_22,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-2733.716893,Y=12964.171298,Z=774.406685)","(Pitch=0.000000,Yaw=142.490955,Roll=-0.000000)","(X=2.000000,Y=2.000000,Z=2.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Pal/Model/Stage/b00/Rainforest/Mesh/Rocks/SM_pal_b00_rock_RainforestRock_01.SM_pal_b00_rock_RainforestRock_01'',Materials=(MaterialInstanceConstant'""/Game/Pal/Model/Stage/b00/Rainforest/Materials/MI_pal_b00_rock_RainforestRock01Moss_01""')))"
Row_23,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-3644.963857,Y=11664.906568,Z=-112.955879)","(Pitch=0.000000,Yaw=176.552675,Roll=-0.000000)","(X=2.000000,Y=2.000000,Z=2.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Pal/Model/Stage/b00/Megascans_Japanese_Asset/Meshes/SM_pal_b00_Megascans_Mossy_Forest_Boulder_wfuiaccaw_lod3_Var1.SM_pal_b00_Megascans_Mossy_Forest_Boulder_wfuiaccaw_lod3_Var1'',Materials=(MaterialInstanceConstant'""/Game/Pal/Model/Stage/b00/Megascans_Japanese_Asset/Material/MI_pal_b00_Megascans_Mossy_Forest_Boulder_wfuiaccaw_2K""')))"
Row_24,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-3857.193613,Y=13591.946242,Z=1012.287187)","(Pitch=0.000000,Yaw=134.109174,Roll=-0.000000)","(X=3.000000,Y=3.000000,Z=3.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Pal/Model/Stage/b06/Cliff/SM_pal_b06_cliff_ground_CliffsAndRocksPack_01.SM_pal_b06_cliff_ground_CliffsAndRocksPack_01'',Materials=(MaterialInstanceConstant'""/Game/Pal/Model/Stage/b06/Cliff/Materials/MI_pal_b06_cliff_ground_CliffsAndRocksPack_01""')))"
Row_25,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1319.231763,Y=13749.727765,Z=76.912722)","(Pitch=-3.295419,Yaw=-140.342867,Roll=-0.000000)","(X=2.400000,Y=2.400000,Z=2.400000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Pal/Model/Stage/b00/Megascans_Japanese_Asset/Meshes/SM_pal_b00_Megascans_Nordic_Forest_Cliff_Large_xibjbg3_lod3.SM_pal_b00_Megascans_Nordic_Forest_Cliff_Large_xibjbg3_lod3'',Materials=(MaterialInstanceConstant'""/Game/Pal/Model/Stage/b00/Megascans_Japanese_Asset/Material/MI_pal_b00_Megascans_Nordic_Forest_Cliff_Large_xibjbg3_2K""')))"
Row_26,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-4145.683003,Y=14418.458476,Z=1015.101798)","(Pitch=0.000000,Yaw=106.183652,Roll=-0.000000)","(X=3.000000,Y=3.000000,Z=3.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Pal/Model/Stage/b06/Cliff/SM_pal_b06_cliff_ground_CliffsAndRocksPack_02.SM_pal_b06_cliff_ground_CliffsAndRocksPack_02'',Materials=(MaterialInstanceConstant'""/Game/Pal/Model/Stage/b06/Cliff/Materials/MI_pal_b06_cliff_ground_CliffsAndRocksPack_01""')))"
Row_27,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-3755.752057,Y=6567.901415,Z=-246.719481)","(Pitch=-0.798848,Yaw=14.048778,Roll=-102.111306)","(X=12.000000,Y=12.000001,Z=12.000001)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Pal/Model/Stage/b06/Seashell/Meshes/SM_pal_b06_Tcom_Seashell_27.SM_pal_b06_Tcom_Seashell_27'',Materials=(MaterialInstanceConstant'""/Game/Pal/Model/Stage/b06/Seashell/Materials/MI_pal_b06_Tcom_Seashell_27""')))"
Row_28,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-3140.506540,Y=12584.110606,Z=-454.502586)","(Pitch=0.000000,Yaw=166.053090,Roll=-0.000000)","(X=7.000000,Y=6.999999,Z=6.999999)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Assets/Beach_Cliff_wdplfee/S_Beach_Cliff_wdplfee_lod3_Var1.S_Beach_Cliff_wdplfee_lod3_Var1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Assets/Beach_Cliff_wdelca0/fix/MI_Pal_b00_Modular_Rock_1""')))"
Row_29,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-3739.860841,Y=13245.373741,Z=-459.890985)","(Pitch=0.000000,Yaw=144.535772,Roll=-0.000000)","(X=7.000000,Y=7.000000,Z=7.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Assets/Beach_Cliff_wdelbay/S_Beach_Cliff_wdelbay_lod3_Var1.S_Beach_Cliff_wdelbay_lod3_Var1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Assets/Beach_Cliff_wdelca0/fix/MI_Pal_b00_Modular_Rock_1""')))"
Row_30,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-1908.798256,Y=2709.434547,Z=-297.274299)","(Pitch=-0.799547,Yaw=-109.678118,Roll=0.000000)","(X=3.000000,Y=3.000000,Z=3.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Assets/Nordic_Beach_Rock_Formation_vkujfekfa/Preview/S_Nordic_Beach_Rock_Formation_vkujfekfa_lod5_Var1.S_Nordic_Beach_Rock_Formation_vkujfekfa_lod5_Var1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Assets/Nordic_Beach_Rock_Formation_vkujfekfa/Preview/MI_Nordic_Beach_Rock_Formation_vkujfekfa_1K""',MaterialInstanceConstant'""/Game/Pal/Model/Other/WhaleBone/Material/MI_WhaleBone_LowLOD""')))"
Row_31,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-3159.183032,Y=13085.568243,Z=1015.101806)","(Pitch=0.000000,Yaw=144.465678,Roll=-0.000000)","(X=3.000000,Y=3.000000,Z=3.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Pal/Model/Stage/b06/Cliff/SM_pal_b06_cliff_ground_CliffsAndRocksPack_02.SM_pal_b06_cliff_ground_CliffsAndRocksPack_02'',Materials=(MaterialInstanceConstant'""/Game/Pal/Model/Stage/b06/Cliff/Materials/MI_pal_b06_cliff_ground_CliffsAndRocksPack_01""')))"
Row_32,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-4365.794241,Y=13775.267421,Z=-211.819980)","(Pitch=0.000000,Yaw=110.996503,Roll=-0.000000)","(X=6.000000,Y=6.000000,Z=6.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Assets/Beach_Cliff_wdplfee/S_Beach_Cliff_wdplfee_lod3_Var1.S_Beach_Cliff_wdplfee_lod3_Var1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Assets/Beach_Cliff_wdelca0/fix/MI_Pal_b00_Modular_Rock_1""')))"
Row_33,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-2427.716938,Y=12180.519797,Z=292.596895)","(Pitch=0.000000,Yaw=118.408475,Roll=-0.000000)","(X=3.000000,Y=3.000000,Z=3.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Pal/Model/Stage/b06/Cliff/SM_pal_b06_cliff_ground_CliffsAndRocksPack_02.SM_pal_b06_cliff_ground_CliffsAndRocksPack_02'',Materials=(MaterialInstanceConstant'""/Game/Pal/Model/Stage/b06/Cliff/Materials/MI_pal_b06_cliff_ground_CliffsAndRocksPack_01""')))"
Row_34,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-2388.057366,Y=12963.886846,Z=1012.287186)","(Pitch=-0.000000,Yaw=-167.092212,Roll=0.000000)","(X=3.000000,Y=3.000000,Z=3.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Pal/Model/Stage/b06/Cliff/SM_pal_b06_cliff_ground_CliffsAndRocksPack_01.SM_pal_b06_cliff_ground_CliffsAndRocksPack_01'',Materials=(MaterialInstanceConstant'""/Game/Pal/Model/Stage/b06/Cliff/Materials/MI_pal_b06_cliff_ground_CliffsAndRocksPack_01""')))"
Row_35,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-2748.400441,Y=3657.752068,Z=-259.478793)","(Pitch=0.000000,Yaw=72.468324,Roll=-0.000000)","(X=3.000000,Y=3.000000,Z=3.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Assets/Nordic_Beach_Rock_Formation_vkujfekfa/Preview/S_Nordic_Beach_Rock_Formation_vkujfekfa_lod5_Var1.S_Nordic_Beach_Rock_Formation_vkujfekfa_lod5_Var1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Assets/Nordic_Beach_Rock_Formation_vkujfekfa/Preview/MI_Nordic_Beach_Rock_Formation_vkujfekfa_1K""',MaterialInstanceConstant'""/Game/Pal/Model/Other/WhaleBone/Material/MI_WhaleBone_LowLOD""')))"
Row_36,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-3206.630618,Y=3326.424920,Z=-305.090248)","(Pitch=0.000000,Yaw=72.468324,Roll=-0.000000)","(X=3.000000,Y=3.000000,Z=3.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Assets/Nordic_Beach_Rock_Formation_vkujfekfa/Preview/S_Nordic_Beach_Rock_Formation_vkujfekfa_lod5_Var1.S_Nordic_Beach_Rock_Formation_vkujfekfa_lod5_Var1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Assets/Nordic_Beach_Rock_Formation_vkujfekfa/Preview/MI_Nordic_Beach_Rock_Formation_vkujfekfa_1K""',MaterialInstanceConstant'""/Game/Pal/Model/Other/WhaleBone/Material/MI_WhaleBone_LowLOD""')))"
Row_37,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-4086.527993,Y=13094.038447,Z=645.671677)","(Pitch=-3.635185,Yaw=-26.054786,Roll=174.277736)","(X=1.500000,Y=1.500000,Z=1.500000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Assets/Beach_Cliff_wdqiedw/S_Beach_Cliff_wdqiedw_lod3_Var1.S_Beach_Cliff_wdqiedw_lod3_Var1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Assets/Beach_Cliff_wdqiedw/MI_Beach_Cliff_wdqiedw_2K""',MaterialInstanceConstant'""/Game/Pal/Model/Stage/b00/Field_Asset_CustomLargeCliff/Material/MI_Cliff_Formation_2_noTop_LowLOD_2""')))"
Row_38,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-4280.250925,Y=14878.415119,Z=-473.358411)","(Pitch=0.000000,Yaw=102.198506,Roll=-0.000000)","(X=7.000000,Y=7.000000,Z=7.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Assets/Beach_Cliff_wdelbay/S_Beach_Cliff_wdelbay_lod3_Var1.S_Beach_Cliff_wdelbay_lod3_Var1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Assets/Beach_Cliff_wdelca0/fix/MI_Pal_b00_Modular_Rock_1""')))"
Row_39,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-4563.120192,Y=14420.823584,Z=808.559045)","(Pitch=-6.776053,Yaw=-83.731937,Roll=180.000000)","(X=1.500000,Y=1.500000,Z=1.500000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Megascans/3D_Assets/Beach_Cliff_wdqiedw/S_Beach_Cliff_wdqiedw_lod3_Var1.S_Beach_Cliff_wdqiedw_lod3_Var1'',Materials=(MaterialInstanceConstant'""/Game/Megascans/3D_Assets/Beach_Cliff_wdqiedw/MI_Beach_Cliff_wdqiedw_2K""',MaterialInstanceConstant'""/Game/Pal/Model/Stage/b00/Field_Asset_CustomLargeCliff/Material/MI_Cliff_Formation_2_noTop_LowLOD_2""')))"
Row_40,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-2222.849403,Y=19800.288100,Z=1063.780471)","(Pitch=3.175918,Yaw=124.697223,Roll=89.065927)","(X=2.000000,Y=2.000000,Z=2.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Pal/Model/Stage/b06/Cliff/SM_pal_b06_cliff_CliffsAndRocksPack_02.SM_pal_b06_cliff_CliffsAndRocksPack_02'',Materials=(MaterialInstanceConstant'""/Game/Pal/Model/Stage/b06/Cliff/Materials/MI_pal_b06_cliff_CliffsAndRocksPack_02""',MaterialInstanceConstant'""/Game/Pal/Model/Stage/b06/Cliff/Materials/MI_pal_b06_cliff_CliffsAndRocksPack_02""')))"
Row_41,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-4061.171444,Y=17144.993211,Z=1012.287068)","(Pitch=0.000000,Yaw=67.667958,Roll=-0.000000)","(X=3.000000,Y=3.000000,Z=3.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Pal/Model/Stage/b06/Cliff/SM_pal_b06_cliff_ground_CliffsAndRocksPack_01.SM_pal_b06_cliff_ground_CliffsAndRocksPack_01'',Materials=(MaterialInstanceConstant'""/Game/Pal/Model/Stage/b06/Cliff/Materials/MI_pal_b06_cliff_ground_CliffsAndRocksPack_01""')))"
